mol,Molecular weight,logP,donorcount,acceptorcount,logD[pH=7.4],bpKa1,polar surface area,fsp3,Heavy atom count,Rotatable bonds
JHU- 4697,352.77,2.17,0,6,2.17,-4.32,71.06,0.41,24,3
572_FDAMDD_v3b,352.77,2.17,0,6,2.17,-4.32,71.06,0.41,24,3
NCGC EXT_IDNPC-7446169,352.77,2.17,0,6,2.17,-4.32,71.06,0.41,24,3
JHU- 2035,299.76,0.19,1,3,1.81,-2.69,50.46,0.12,21,1
NCGC EXT_IDNPC-7445965,299.76,0.19,1,3,1.81,-2.69,50.46,0.12,21,1
JHU- 1038,327.424,3.44,1,3,1.87,8.96,49.77,0.35,24,9
Benactyzine,327.424,3.44,1,3,1.87,8.96,49.77,0.35,24,9
NCGC EXT_IDNPC-7445913,327.424,3.44,1,3,1.87,8.96,49.77,0.35,24,9
JHU- 8387,294.395,2.6,1,4,1.03,8.96,64.79,0.56,21,10
NCGC EXT_IDNPC-7445704,294.395,2.6,1,4,1.03,8.96,64.79,0.56,21,10
JHU- 1724,147.197,-4.55,1,1,-4.55,15.2,52.32,0.83,10,4
NCGC EXT_IDNPC-7445594,147.197,-4.55,1,1,-4.55,15.2,52.32,0.83,10,4
methacholine,160.236,-3.8,0,1,-3.8,-7.02,26.3,0.88,11,4
JHU- 6266,160.236,-3.8,0,1,-3.8,-7.02,26.3,0.88,11,4
NCGC EXT_IDNPC-7445516,160.236,-3.8,0,1,-3.8,-7.02,26.3,0.88,11,4
JHU- 4483,510.826,-7.72,0,3,-7.72,-4.49,27.69,0.8,36,21
NCGC EXT_IDNPC-7444611,510.826,-7.72,0,3,-7.72,-4.49,27.69,0.8,36,21
JHU- 7765,199.27,3.63,1,1,3.63,-0.95,12.03,0,14,0
NCGC EXT_IDNPC-7443102,199.27,3.63,1,1,3.63,-0.95,12.03,0,14,0
JHU- 3042,305.14,0.39,2,4,0.29,7.94,120.32,0,16,2
Dichlorphenamide,305.14,0.39,2,4,0.29,7.94,120.32,0,16,2
NCGC EXT_IDNPC-7442551,305.14,0.39,2,4,0.29,7.94,120.32,0,16,2
doxazosin,451.483,2.14,1,9,1.91,7.24,112.27,0.35,33,4
JHU- 3339,451.483,2.14,1,9,1.91,7.24,112.27,0.35,33,4
DOXAZOSIN,451.483,2.14,1,9,1.91,7.24,112.27,0.35,33,4
NCGC EXT_IDNPC-7441494,451.483,2.14,1,9,1.91,7.24,112.27,0.35,33,4
Clazosentan,577.58,3.61,3,12,1.15,5,200.11,0.16,41,10
JHU- 2296,577.58,3.61,3,12,1.15,5,200.11,0.16,41,10
NCGC EXT_IDNPC-7440951,577.58,3.61,3,12,1.15,5,200.11,0.16,41,10
nabumetone,228.291,3.22,0,2,3.22,19.6,26.3,0.27,17,4
JHU- 6713,228.291,3.22,0,2,3.22,19.6,26.3,0.27,17,4
NCGC EXT_IDNPC-7440600,228.291,3.22,0,2,3.22,19.6,26.3,0.27,17,4
chlorotrianisene,380.87,5.43,0,3,5.43,-4.35,27.69,0.13,27,6
JHU- 2078,380.87,5.43,0,3,5.43,-4.35,27.69,0.13,27,6
NCGC EXT_IDNPC-7440293,380.87,5.43,0,3,5.43,-4.35,27.69,0.13,27,6
Aripiprazole,448.39,4.9,1,4,4.57,7.46,44.81,0.43,30,7
JHU- 762,448.39,4.9,1,4,4.57,7.46,44.81,0.43,30,7
NCGC EXT_IDNPC-7438378,448.39,4.9,1,4,4.57,7.46,44.81,0.43,30,7
JHU- 5831,233.7,2.16,1,2,2.16,14.1,61.77,0.89,15,4
Lomustine,233.7,2.16,1,2,2.16,14.1,61.77,0.89,15,4
NCGC EXT_IDNPC-7438038,233.7,2.16,1,2,2.16,14.1,61.77,0.89,15,4
JHU- 8428,170.23,1.2,2,1,1.12,8.09,41.13,0.43,11,2
NCGC EXT_IDNPC-7437551,170.23,1.2,2,1,1.12,8.09,41.13,0.43,11,2
JHU- 6955,178.235,0.77,0,2,0.77,3.61,33.2,0.4,13,3
NCGC EXT_IDNPC-7437216,178.235,0.77,0,2,0.77,3.61,33.2,0.4,13,3
JHU- 1505,193.246,2.47,1,2,2.47,2.76,52.32,0.36,14,5
NCGC EXT_IDNPC-7437029,193.246,2.47,1,2,2.47,2.76,52.32,0.36,14,5
glyburide,494,3.79,3,5,2.85,4.32,113.6,0.39,33,7
JHU- 4638,494,3.79,3,5,2.85,4.32,113.6,0.39,33,7
NCGC EXT_IDNPC-7436752,494,3.79,3,5,2.85,4.32,113.6,0.39,33,7
JHU- 3559,352.478,4.49,1,3,2.42,9.48,41.57,0.41,26,6
443_FDAMDD_v3b,352.478,4.49,1,3,2.42,9.48,41.57,0.41,26,6
NCGC EXT_IDNPC-7436664,352.478,4.49,1,3,2.42,9.48,41.57,0.41,26,6
JHU- 8313,333.388,0.76,3,5,-0.25,8.53,90.9,0.41,24,8
NCGC EXT_IDNPC-7435265,333.388,0.76,3,5,-0.25,8.53,90.9,0.41,24,8
JHU- 1812,425.59,3.35,1,5,2.82,7.78,47.02,0.46,30,8
Carphenazine,425.59,3.35,1,5,2.82,7.78,47.02,0.46,30,8
NCGC EXT_IDNPC-7434946,425.59,3.35,1,5,2.82,7.78,47.02,0.46,30,8
JHU- 8694,376.453,1.52,0,4,1.16,7.51,76.15,0.55,27,9
NCGC EXT_IDNPC-7434289,376.453,1.52,0,4,1.16,7.51,76.15,0.55,27,9
iohexol,821.142,-1.95,8,9,-1.95,11.7,199.89,0.53,34,12
JHU- 5246,821.142,-1.95,8,9,-1.95,11.7,199.89,0.53,34,12
Iohexol,821.142,-1.95,8,9,-1.95,11.7,199.89,0.53,34,12
NCGC EXT_IDNPC-7433655,821.142,-1.95,8,9,-1.95,11.7,199.89,0.53,34,12
JHU- 776,347.28,1.11,3,3,1.08,8.52,69.56,0.36,18,3
NCGC EXT_IDNPC-7433272,347.28,1.11,3,3,1.08,8.52,69.56,0.36,18,3
JHU- 5375,193.246,2.39,1,2,2.39,2.84,52.32,0.36,14,4
Isocaine,193.246,2.39,1,2,2.39,2.84,52.32,0.36,14,4
NCGC EXT_IDNPC-7433116,193.246,2.39,1,2,2.39,2.84,52.32,0.36,14,4
JHU- 2745,325.46,2.42,0,4,1.98,7.64,37.19,0.58,24,4
NCGC EXT_IDNPC-7432972,325.46,2.42,0,4,1.98,7.64,37.19,0.58,24,4
JHU- 2764,488.01,4.01,3,8,3.8,7.19,106.51,0.36,33,7
NCGC EXT_IDNPC-7432453,488.01,4.01,3,8,3.8,7.19,106.51,0.36,33,7
JHU- 10596,641.026,6.21,2,3,2.7,2.52,66.4,0.47,22,7
NCGC EXT_IDNPC-7431397,641.026,6.21,2,3,2.7,2.52,66.4,0.47,22,7
JHU- 10022,254.35,2.92,2,2,2.52,7.2,58.2,0.58,17,5
NCGC EXT_IDNPC-7431378,254.35,2.92,2,2,2.52,7.2,58.2,0.58,17,5
JHU- 435,537.57,-3.63,2,2,-3.63,11.5,58.2,0.5,36,15
NCGC EXT_IDNPC-7428075,537.57,-3.63,2,2,-3.63,11.5,58.2,0.5,36,15
alprazolam,308.77,3.02,0,3,3.02,5.01,43.07,0.12,22,1
JHU- 356,308.77,3.02,0,3,3.02,5.01,43.07,0.12,22,1
CIC39,308.77,3.02,0,3,3.02,5.01,43.07,0.12,22,1
NCGC EXT_IDNPC-7427705,308.77,3.02,0,3,3.02,5.01,43.07,0.12,22,1
flumazenil,303.293,1.39,0,3,1.39,2.87,64.43,0.27,22,3
JHU- 4231,303.293,1.39,0,3,1.39,2.87,64.43,0.27,22,3
FLUMAZENIL,303.293,1.39,0,3,1.39,2.87,64.43,0.27,22,3
NCGC EXT_IDNPC-7427702,303.293,1.39,0,3,1.39,2.87,64.43,0.27,22,3
ethotoin,204.229,1.07,1,2,1.07,11.2,49.41,0.27,15,2
JHU- 3808,204.229,1.07,1,2,1.07,11.2,49.41,0.27,15,2
Ethotoin,204.229,1.07,1,2,1.07,11.2,49.41,0.27,15,2
NCGC EXT_IDNPC-7427698,204.229,1.07,1,2,1.07,11.2,49.41,0.27,15,2
JHU- 3795,167.208,1.54,1,1,1.54,15.4,52.32,0.67,12,2
Ethinamate,167.208,1.54,1,1,1.54,15.4,52.32,0.67,12,2
NCGC EXT_IDNPC-7427524,167.208,1.54,1,1,1.54,15.4,52.32,0.67,12,2
JHU- 2101,169.56,1.94,1,2,1.93,9.39,38.33,0,11,0
CHLORZOXAZONE,169.56,1.94,1,2,1.93,9.39,38.33,0,11,0
NCGC EXT_IDNPC-7427243,169.56,1.94,1,2,1.93,9.39,38.33,0,11,0
JHU- 7785,214.22,3.98,1,2,3.98,9.67,46.53,0,16,3
NCGC EXT_IDNPC-7427098,214.22,3.98,1,2,3.98,9.67,46.53,0,16,3
diflunisal,250.201,3.91,2,3,0.41,2.69,57.53,0,18,2
JHU- 3100,250.201,3.91,2,3,0.41,2.69,57.53,0,18,2
CIC399,250.201,3.91,2,3,0.41,2.69,57.53,0,18,2
NCGC EXT_IDNPC-7426826,250.201,3.91,2,3,0.41,2.69,57.53,0,18,2
acetophenazine,411.56,2.65,1,5,2.12,7.78,47.02,0.43,29,7
JHU- 108,411.56,2.65,1,5,2.12,7.78,47.02,0.43,29,7
Acetophenazine,411.56,2.65,1,5,2.12,7.78,47.02,0.43,29,7
NCGC EXT_IDNPC-7426638,411.56,2.65,1,5,2.12,7.78,47.02,0.43,29,7
JHU- 1131,212.248,3.7,0,1,3.7,-6.9,26.3,0.07,16,4
NCGC EXT_IDNPC-7426480,212.248,3.7,0,1,3.7,-6.9,26.3,0.07,16,4
Guanfacine,246.09,1.74,3,3,0.49,8.65,78.97,0.11,15,2
JHU- 4724,246.09,1.74,3,3,0.49,8.65,78.97,0.11,15,2
NCGC EXT_IDNPC-7426310,246.09,1.74,3,3,0.49,8.65,78.97,0.11,15,2
JHU- 10028,255.31,0.78,2,5,0.78,2.26,99.07,0,16,2
NCGC EXT_IDNPC-7426240,255.31,0.78,2,5,0.78,2.26,99.07,0,16,2
anisindione,252.269,2.72,0,3,0.04,4.55,43.37,0.12,19,2
JHU- 656,252.269,2.72,0,3,0.04,4.55,43.37,0.12,19,2
Anisindione,252.269,2.72,0,3,0.04,4.55,43.37,0.12,19,2
NCGC EXT_IDNPC-7425137,252.269,2.72,0,3,0.04,4.55,43.37,0.12,19,2
JHU- 5477,237.73,3.35,1,2,3.15,7.16,29.1,0.46,16,2
Ketamine,237.73,3.35,1,2,3.15,7.16,29.1,0.46,16,2
NCGC EXT_IDNPC-7424133,237.73,3.35,1,2,3.15,7.16,29.1,0.46,16,2
amoxepine,313.79,3.08,1,3,1.64,8.83,36.86,0.24,22,0
JHU- 576,313.79,3.08,1,3,1.64,8.83,36.86,0.24,22,0
CIC60,313.79,3.08,1,3,1.64,8.83,36.86,0.24,22,0
NCGC EXT_IDNPC-7423893,313.79,3.08,1,3,1.64,8.83,36.86,0.24,22,0
JHU- 1711,300.58,3.25,0,2,3.25,17.9,37.38,0.56,16,2
NCGC EXT_IDNPC-7423651,300.58,3.25,0,2,3.25,17.9,37.38,0.56,16,2
JHU- 4282,437.53,3.97,1,4,3.41,7.81,29.95,0.45,30,7
Fluphenazine,437.53,3.97,1,4,3.41,7.81,29.95,0.45,30,7
NCGC EXT_IDNPC-7423540,437.53,3.97,1,4,3.41,7.81,29.95,0.45,30,7
fluoxetine,309.332,4.17,1,2,1.83,9.8,21.26,0.29,22,7
JHU- 4272,309.332,4.17,1,2,1.83,9.8,21.26,0.29,22,7
FLUOXETINE,309.332,4.17,1,2,1.83,9.8,21.26,0.29,22,7
NCGC EXT_IDNPC-7423170,309.332,4.17,1,2,1.83,9.8,21.26,0.29,22,7
JHU- 1680,610.671,7.53,1,8,5.93,4.23,143.34,0.33,45,13
NCGC EXT_IDNPC-7422999,610.671,7.53,1,8,5.93,4.23,143.34,0.33,45,13
4-Aminopyridine,94.117,-0.07,1,2,-0.97,8.95,38.91,0,7,0
JHU- 3959,94.117,-0.07,1,2,-0.97,8.95,38.91,0,7,0
NCGC EXT_IDNPC-7422958,94.117,-0.07,1,2,-0.97,8.95,38.91,0,7,0
JHU- 7720,298.386,3.67,1,4,2.68,8.42,42.85,0.28,22,6
NCGC EXT_IDNPC-7422863,298.386,3.67,1,4,2.68,8.42,42.85,0.28,22,6
JHU- 570,353.85,3.5,2,4,2.04,10.1,48.39,0.25,25,4
NCGC EXT_IDNPC-7422513,353.85,3.5,2,4,2.04,10.1,48.39,0.25,25,4
JHU- 6289,250.301,3.17,0,2,3.17,1.18,32.67,0.12,19,0
methaqualone,250.301,3.17,0,2,3.17,1.18,32.67,0.12,19,0
NCGC EXT_IDNPC-7422486,250.301,3.17,0,2,3.17,1.18,32.67,0.12,19,0
cyclobenzaprine,275.395,4.61,0,1,2.28,9.76,3.24,0.2,21,3
JHU- 2653,275.395,4.61,0,1,2.28,9.76,3.24,0.2,21,3
NCGC EXT_IDNPC-7422484,275.395,4.61,0,1,2.28,9.76,3.24,0.2,21,3
JHU- 8352,209.252,1.85,2,3,0.94,8.32,64.93,0,16,0
NCGC EXT_IDNPC-7422401,209.252,1.85,2,3,0.94,8.32,64.93,0,16,0
JHU- 1751,186.23,1.35,0,1,1.35,,32.78,0.43,12,2
carbimazole,186.23,1.35,0,1,1.35,,32.78,0.43,12,2
NCGC EXT_IDNPC-7422020,186.23,1.35,0,1,1.35,,32.78,0.43,12,2
JHU- 2381,405.97,6.47,0,2,4.57,9.31,12.47,0.23,29,9
Clomiphene,405.97,6.47,0,2,4.57,9.31,12.47,0.23,29,9
NCGC EXT_IDNPC-7421818,405.97,6.47,0,2,4.57,9.31,12.47,0.23,29,9
JHU- 184,311.425,4.17,0,2,2.6,8.96,29.54,0.35,23,9
Adiphenine,311.425,4.17,0,2,2.6,8.96,29.54,0.35,23,9
NCGC EXT_IDNPC-7421797,311.425,4.17,0,2,2.6,8.96,29.54,0.35,23,9
JHU- 1129,309.413,3.66,0,3,1.81,9.26,30.29,0.32,23,7
NCGC EXT_IDNPC-7421631,309.413,3.66,0,3,1.81,9.26,30.29,0.32,23,7
JHU- 2002,304.541,3.47,0,0,3.47,,3.88,0.76,22,15
NCGC EXT_IDNPC-7421182,304.541,3.47,0,0,3.47,,3.88,0.76,22,15
JHU- 4820,339.612,5.74,1,3,4.06,9.08,32.5,1,24,12
NCGC EXT_IDNPC-7420829,339.612,5.74,1,3,4.06,9.08,32.5,1,24,12
JHU- 6275,286.371,4.72,1,3,1.93,4.53,46.53,0.39,21,5
Methallenestril,286.371,4.72,1,3,1.93,4.53,46.53,0.39,21,5
NCGC EXT_IDNPC-7420419,286.371,4.72,1,3,1.93,4.53,46.53,0.39,21,5
JHU- 8975,246.306,2.6,0,2,2.6,-6.07,43.37,0.6,18,0
NCGC EXT_IDNPC-7419973,246.306,2.6,0,2,2.6,-6.07,43.37,0.6,18,0
meperidine,218.256,1.67,1,2,1.67,11.1,49.41,0.33,16,2
JHU- 6148,218.256,1.67,1,2,1.67,11.1,49.41,0.33,16,2
Mephenytoin,218.256,1.67,1,2,1.67,11.1,49.41,0.33,16,2
NCGC EXT_IDNPC-7419306,218.256,1.67,1,2,1.67,11.1,49.41,0.33,16,2
JHU- 1667,152.237,2.55,0,1,2.55,-7.49,17.07,0.9,11,0
NCGC EXT_IDNPC-7419255,152.237,2.55,0,1,2.55,-7.49,17.07,0.9,11,0
JHU- 605,187.202,-0.57,2,3,-0.57,4.87,68.01,0,14,1
Amrinone,187.202,-0.57,2,3,-0.57,4.87,68.01,0,14,1
NCGC EXT_IDNPC-7419233,187.202,-0.57,2,3,-0.57,4.87,68.01,0,14,1
JHU- 3254,339.483,3.47,1,3,0.57,10.4,59.22,0.43,25,8
NCGC EXT_IDNPC-7419197,339.483,3.47,1,3,0.57,10.4,59.22,0.43,25,8
JHU- 5372,253.36,2.71,0,2,2.71,-7.18,50.09,0.85,17,4
NCGC EXT_IDNPC-7419191,253.36,2.71,0,2,2.71,-7.18,50.09,0.85,17,4
JHU- 7003,198.138,-0.14,2,4,-0.14,11.8,123.76,0,14,3
NCGC EXT_IDNPC-7418927,198.138,-0.14,2,4,-0.14,11.8,123.76,0,14,3
indapamide,365.83,2.64,2,4,2.63,8.85,92.5,0.19,24,3
JHU- 5076,365.83,2.64,2,4,2.63,8.85,92.5,0.19,24,3
NCGC EXT_IDNPC-7418718,365.83,2.64,2,4,2.63,8.85,92.5,0.19,24,3
JHU- 6719,309.406,0.87,4,5,-1.44,9.76,81.95,0.65,22,6
NADOLOL,309.406,0.87,4,5,-1.44,9.76,81.95,0.65,22,6
NCGC EXT_IDNPC-7418667,309.406,0.87,4,5,-1.44,9.76,81.95,0.65,22,6
JHU- 1342,196.29,2.43,0,1,2.43,-7,26.3,0.92,14,2
NCGC EXT_IDNPC-7418550,196.29,2.43,0,1,2.43,-7,26.3,0.92,14,2
amlexanox,298.298,3.65,2,5,0.69,4.31,102.51,0.19,22,2
JHU- 535,298.298,3.65,2,5,0.69,4.31,102.51,0.19,22,2
Amlenanox,298.298,3.65,2,5,0.69,4.31,102.51,0.19,22,2
NCGC EXT_IDNPC-7418493,298.298,3.65,2,5,0.69,4.31,102.51,0.19,22,2
JHU- 10465,204.237,1.7,0,6,0.64,8.48,47.7,0.67,15,3
NCGC EXT_IDNPC-7418290,204.237,1.7,0,6,0.64,8.48,47.7,0.67,15,3
dopamine,153.181,0.03,3,3,-1.45,9.27,66.48,0.25,11,2
JHU- 3315,153.181,0.03,3,3,-1.45,9.27,66.48,0.25,11,2
NCGC EXT_IDNPC-7417760,153.181,0.03,3,3,-1.45,9.27,66.48,0.25,11,2
brimonidine,292.14,1.37,2,5,0.42,8.32,62.2,0.18,17,1
JHU- 1369,292.14,1.37,2,5,0.42,8.32,62.2,0.18,17,1
NCGC EXT_IDNPC-7417743,292.14,1.37,2,5,0.42,8.32,62.2,0.18,17,1
JHU- 2504,189.307,-2.52,5,5,-7.8,9.81,88.13,1,13,10
NCGC EXT_IDNPC-7417628,189.307,-2.52,5,5,-7.8,9.81,88.13,1,13,10
JHU- 1069,301.73,4.13,1,3,1.45,4.66,63.33,0.12,21,3
Benoxaprofen,301.73,4.13,1,3,1.45,4.66,63.33,0.12,21,3
NCGC EXT_IDNPC-7417386,301.73,4.13,1,3,1.45,4.66,63.33,0.12,21,3
JHU- 10574,115.22,2,1,1,-0.73,10.4,26.02,1,8,4
NCGC EXT_IDNPC-7417083,115.22,2,1,1,-0.73,10.4,26.02,1,8,4
JHU- 726,210.233,1.14,2,3,0.89,7.48,75.27,0.5,15,3
CIC78,210.233,1.14,2,3,0.89,7.48,75.27,0.5,15,3
NCGC EXT_IDNPC-7416899,210.233,1.14,2,3,0.89,7.48,75.27,0.5,15,3
JHU- 6372,142.18,0.24,2,1,0.16,8.09,41.13,0.2,9,0
Methylthiouracil,142.18,0.24,2,1,0.16,8.09,41.13,0.2,9,0
NCGC EXT_IDNPC-7416892,142.18,0.24,2,1,0.16,8.09,41.13,0.2,9,0
JHU- 10450,289.54,4.98,1,1,4.8,7.68,29.46,0,17,2
NCGC EXT_IDNPC-7416871,289.54,4.98,1,1,4.8,7.68,29.46,0,17,2
JHU- 12037,137.138,1.45,2,3,-1.15,4.89,63.32,0,10,1
NCGC EXT_IDNPC-7416572,137.138,1.45,2,3,-1.15,4.89,63.32,0,10,1
JHU- 5979,54.938,-0.16,0,0,-0.16,,0,,1,0
NCGC EXT_IDNPC-7416398,54.938,-0.16,0,0,-0.16,,0,,1,0
JHU- 3305,334.567,2.55,0,1,2.55,-4.87,9.23,0.73,24,15
NCGC EXT_IDNPC-7415987,334.567,2.55,0,1,2.55,-4.87,9.23,0.73,24,15
JHU- 61,181.21,-2.75,2,4,-4.1,-0.88,83.47,0.8,11,4
NCGC EXT_IDNPC-7415963,181.21,-2.75,2,4,-4.1,-0.88,83.47,0.8,11,4
JHU- 95,275.092,-0.03,4,5,-2.32,3.55,106.86,0.12,15,2
NCGC EXT_IDNPC-7415962,275.092,-0.03,4,5,-2.32,3.55,106.86,0.12,15,2
JHU- 6285,340.442,-0.47,0,1,-0.47,17.6,35.53,0.38,25,7
NCGC EXT_IDNPC-7415537,340.442,-0.47,0,1,-0.47,17.6,35.53,0.38,25,7
JHU- 5394,309.453,4.96,0,2,3.27,9.09,20.31,0.38,23,7
NCGC EXT_IDNPC-7415534,309.453,4.96,0,2,3.27,9.09,20.31,0.38,23,7
JHU- 2782,258.493,-4.87,0,0,-4.87,,0,1,18,11
NCGC EXT_IDNPC-7415510,258.493,-4.87,0,0,-4.87,,0,1,18,11
JHU- 7800,170.211,3.32,1,1,3.31,9.69,20.23,0,13,1
NCGC EXT_IDNPC-7415499,170.211,3.32,1,1,3.31,9.69,20.23,0,13,1
JHU- 10017,265.35,-3.1,2,4,-3.1,5.54,75.91,0.42,18,4
NCGC EXT_IDNPC-7415498,265.35,-3.1,2,4,-3.1,5.54,75.91,0.42,18,4
JHU- 94,135.166,1.21,1,1,1.21,14.4,29.1,0.12,10,1
Acetanilide,135.166,1.21,1,1,1.21,14.4,29.1,0.12,10,1
NCGC EXT_IDNPC-7415486,135.166,1.21,1,1,1.21,14.4,29.1,0.12,10,1
JHU- 1999,242.447,6.14,1,1,6.14,-1.99,20.23,1,17,14
NCGC EXT_IDNPC-7415315,242.447,6.14,1,1,6.14,-1.99,20.23,1,17,14
JHU- 12480,119.942,-2.34,1,4,-4.6,-7,71.44,,5,0
NCGC EXT_IDNPC-7414664,119.942,-2.34,1,4,-4.6,-7,71.44,,5,0
JHU- 5265,420.973,1.31,2,4,1.31,14,60.77,0.38,14,3
NCGC EXT_IDNPC-7413708,420.973,1.31,2,4,1.31,14,60.77,0.38,14,3
cilostazol,369.469,3.31,1,5,3.31,14.4,81.93,0.6,27,7
JHU- 2185,369.469,3.31,1,5,3.31,14.4,81.93,0.6,27,7
NCGC EXT_IDNPC-7412869,369.469,3.31,1,5,3.31,14.4,81.93,0.6,27,7
Lodoxamide tromethamine,311.63,0.83,4,7,-6.23,-6.72,156.59,0,21,4
JHU- 12709,311.63,0.83,4,7,-6.23,-6.72,156.59,0,21,4
NCGC EXT_IDNPC-7412344,311.63,0.83,4,7,-6.23,-6.72,156.59,0,21,4
JHU- 9480,355.38,0.87,3,6,-3.1,3.36,125.46,0.15,23,6
NCGC EXT_IDNPC-7412048,355.38,0.87,3,6,-3.1,3.36,125.46,0.15,23,6
JHU- 5266,346.894,2.25,1,2,2.25,12,29.1,0,9,0
NCGC EXT_IDNPC-7411463,346.894,2.25,1,2,2.25,12,29.1,0,9,0
mitotane,320.03,6.11,0,0,6.11,,0,0.14,18,3
JHU- 6549,320.03,6.11,0,0,6.11,,0,0.14,18,3
NCGC EXT_IDNPC-7411336,320.03,6.11,0,0,6.11,,0,0.14,18,3
JHU- 2367,349.13,5.2,2,1,5.2,11.4,41.13,0.07,22,3
NCGC EXT_IDNPC-7410608,349.13,5.2,2,1,5.2,11.4,41.13,0.07,22,3
JHU- 6146,223.228,1.19,1,3,1.19,12.7,56.79,0.36,16,4
Mephenoxalone,223.228,1.19,1,3,1.19,12.7,56.79,0.36,16,4
NCGC EXT_IDNPC-7410382,223.228,1.19,1,3,1.19,12.7,56.79,0.36,16,4
JHU- 526,195.222,0.07,1,3,0.07,18.1,66.64,0.33,14,2
NCGC EXT_IDNPC-7407934,195.222,0.07,1,3,0.07,18.1,66.64,0.33,14,2
iotrolan,1626.242,-3.67,16,18,-3.67,11.5,399.78,0.51,67,24
JHU- 5285,1626.242,-3.67,16,18,-3.67,11.5,399.78,0.51,67,24
Iotrolan,1626.242,-3.67,16,18,-3.67,11.5,399.78,0.51,67,24
NCGC EXT_IDNPC-7407566,1626.242,-3.67,16,18,-3.67,11.5,399.78,0.51,67,24
JHU- 7409,235.327,3.85,0,2,3.85,2.9,29.54,0.5,17,7
NCGC EXT_IDNPC-7406381,235.327,3.85,0,2,3.85,2.9,29.54,0.5,17,7
JHU- 1093,298.426,6.1,2,2,6.1,9.95,40.46,0.4,22,6
NCGC EXT_IDNPC-7404350,298.426,6.1,2,2,6.1,9.95,40.46,0.4,22,6
JHU- 2026,561.54,7.8,2,5,7.79,9.07,118.77,0.7,37,22
NCGC EXT_IDNPC-7403740,561.54,7.8,2,5,7.79,9.07,118.77,0.7,37,22
iodixanol,1550.191,-2.06,13,15,-2.06,11.4,339.09,0.49,62,22
JHU- 5211,1550.191,-2.06,13,15,-2.06,11.4,339.09,0.49,62,22
NCGC EXT_IDNPC-7403015,1550.191,-2.06,13,15,-2.06,11.4,339.09,0.49,62,22
anastrozole,293.374,3.03,0,4,3.03,2,78.29,0.41,22,4
JHU- 621,293.374,3.03,0,4,3.03,2,78.29,0.41,22,4
ANASTROZOLE,293.374,3.03,0,4,3.03,2,78.29,0.41,22,4
NCGC EXT_IDNPC-7402645,293.374,3.03,0,4,3.03,2,78.29,0.41,22,4
JHU- 622,711.66,3.97,4,8,1.59,10.9,167.57,0.29,48,11
NCGC EXT_IDNPC-7402077,711.66,3.97,4,8,1.59,10.9,167.57,0.29,48,11
JHU- 5313,280.323,3.95,0,3,3.95,-4.75,35.53,0.17,21,3
NCGC EXT_IDNPC-7401485,280.323,3.95,0,3,3.95,-4.75,35.53,0.17,21,3
F0196-0909,280.323,3.95,0,3,3.95,-4.75,35.53,0.17,21,3
flutamide,276.215,3.27,1,3,3.27,12.8,72.24,0.36,19,4
JHU- 4312,276.215,3.27,1,3,3.27,12.8,72.24,0.36,19,4
NCGC EXT_IDNPC-7400254,276.215,3.27,1,3,3.27,12.8,72.24,0.36,19,4
JHU- 10062,511.818,4.92,0,4,4.92,3.12,38.25,0.69,37,22
NCGC EXT_IDNPC-7399151,511.818,4.92,0,4,4.92,3.12,38.25,0.69,37,22
JHU- 3217,452.598,5.88,0,3,4.76,8.5,53.33,0.33,34,9
Diphenoxylate,452.598,5.88,0,3,4.76,8.5,53.33,0.33,34,9
NCGC EXT_IDNPC-7398567,452.598,5.88,0,3,4.76,8.5,53.33,0.33,34,9
amiodarone,645.32,7.64,0,3,5.95,9.08,42.68,0.4,31,11
JHU- 520,645.32,7.64,0,3,5.95,9.08,42.68,0.4,31,11
AMIODARONE,645.32,7.64,0,3,5.95,9.08,42.68,0.4,31,11
NCGC EXT_IDNPC-7398282,645.32,7.64,0,3,5.95,9.08,42.68,0.4,31,11
JHU- 7382,260.381,3.03,2,3,1.2,10.1,44.62,0.56,19,3
NCGC EXT_IDNPC-7396860,260.381,3.03,2,3,1.2,10.1,44.62,0.56,19,3
etodolac,287.359,3.44,2,3,0.83,4.73,62.32,0.47,21,4
JHU- 3874,287.359,3.44,2,3,0.83,4.73,62.32,0.47,21,4
NCGC EXT_IDNPC-7396850,287.359,3.44,2,3,0.83,4.73,62.32,0.47,21,4
mebendazole,295.298,3.26,2,4,3.23,8.44,84.08,0.06,22,4
JHU- 6026,295.298,3.26,2,4,3.23,8.44,84.08,0.06,22,4
NCGC EXT_IDNPC-7396849,295.298,3.26,2,4,3.23,8.44,84.08,0.06,22,4
clofibrate,242.7,3.4,0,2,3.4,-4.92,35.53,0.42,16,5
JHU- 2363,242.7,3.4,0,2,3.4,-4.92,35.53,0.42,16,5
Clofibrate,242.7,3.4,0,2,3.4,-4.92,35.53,0.42,16,5
NCGC EXT_IDNPC-7396814,242.7,3.4,0,2,3.4,-4.92,35.53,0.42,16,5
JHU- 10784,524.874,11.62,0,1,11.62,-7.04,26.3,0.69,38,21
NCGC EXT_IDNPC-7396799,524.874,11.62,0,1,11.62,-7.04,26.3,0.69,38,21
bethanechol,161.224,-4.14,1,1,-4.14,15.3,52.32,0.86,11,4
JHU- 1194,161.224,-4.14,1,1,-4.14,15.3,52.32,0.86,11,4
